Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
75682867,Female,No,0,Graduate,Yes,2500,0.0,93.0,360.0,,Urban,Y
66755036,Male,Yes,2,Not Graduate,No,6125,1625.0,187.0,480.0,1.0,Semiurban,N
66882282,Male,Yes,0,Graduate,No,2768,1950.0,155.0,360.0,1.0,Rural,Y
31081788,Female,Yes,0,Graduate,No,4583,0.0,112.0,360.0,1.0,Rural,N
23315092,Male,No,0,Graduate,Yes,10416,0.0,187.0,360.0,0.0,Urban,N
45788921,Male,No,0,Graduate,Yes,6822,0.0,141.0,360.0,1.0,Rural,Y
36735830,Male,Yes,0,Graduate,No,9328,0.0,188.0,180.0,1.0,Rural,Y
41632483,Female,,,Graduate,No,10047,0.0,,240.0,1.0,Semiurban,Y
86737383,Male,Yes,0,Graduate,No,7333,8333.0,175.0,300.0,,Rural,Y
98358551,Male,Yes,3+,Graduate,No,5250,0.0,94.0,360.0,1.0,Urban,N
98409749,Male,Yes,2,Graduate,No,8333,3167.0,165.0,360.0,1.0,Rural,Y
14981505,Female,Yes,0,Graduate,No,2484,2302.0,137.0,360.0,1.0,Semiurban,Y
23953367,Male,Yes,2,Graduate,No,2957,0.0,81.0,360.0,1.0,Semiurban,Y
95652971,Male,Yes,3+,Graduate,No,3400,2500.0,123.0,360.0,0.0,Rural,N
14521373,Female,No,1,Not Graduate,No,4606,0.0,81.0,360.0,1.0,Rural,N
13344769,Male,No,0,Graduate,Yes,7085,0.0,84.0,360.0,1.0,Semiurban,Y
86893497,Male,Yes,0,Graduate,Yes,5818,2160.0,184.0,360.0,1.0,Semiurban,Y
40349564,Female,No,1,Graduate,No,3812,0.0,112.0,360.0,1.0,Rural,Y
52860080,Male,No,0,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,Y
87751354,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N
72250665,Male,Yes,0,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,N
76209791,Male,Yes,3+,Graduate,No,3466,3428.0,150.0,360.0,1.0,Rural,Y
56792155,Male,No,0,Graduate,,12876,0.0,405.0,360.0,1.0,Semiurban,Y
31498555,Female,Yes,1,Graduate,No,12000,0.0,496.0,360.0,1.0,Semiurban,Y
70221198,Male,Yes,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,N
89757501,Male,Yes,1,Graduate,No,7250,1667.0,110.0,,0.0,Urban,N
26861870,Male,Yes,0,Graduate,No,7901,1833.0,180.0,360.0,1.0,Rural,Y
62286002,Male,Yes,,Graduate,No,13650,0.0,,360.0,1.0,Urban,Y
42049003,Female,No,0,Graduate,No,10000,0.0,214.0,360.0,1.0,Semiurban,N
71136438,Male,Yes,0,Graduate,No,2666,4300.0,121.0,360.0,1.0,Rural,Y
72194931,Male,Yes,2,Not Graduate,No,3917,0.0,124.0,360.0,1.0,Semiurban,Y
75285250,Female,No,1,Graduate,No,3541,0.0,112.0,360.0,,Semiurban,Y
79537252,Male,No,1,Graduate,No,3062,1987.0,111.0,180.0,0.0,Urban,N
69248434,Male,Yes,3+,Not Graduate,No,2647,1587.0,173.0,360.0,1.0,Rural,N
71306900,Male,No,0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,Y
65831368,Female,No,0,Graduate,No,645,3683.0,113.0,480.0,1.0,Rural,Y
20959014,Male,Yes,2,Graduate,No,8333,0.0,246.0,360.0,1.0,Semiurban,Y
66972561,Male,Yes,3+,Not Graduate,No,3992,0.0,,180.0,1.0,Urban,N
58900483,Male,No,0,Graduate,No,2237,0.0,63.0,480.0,0.0,Semiurban,N
30193880,Male,No,0,Graduate,No,8750,4167.0,308.0,360.0,1.0,Rural,N
13385357,Male,Yes,1,Not Graduate,No,4050,5302.0,138.0,360.0,,Rural,N
54738553,Male,Yes,0,Graduate,No,5829,0.0,138.0,360.0,1.0,Rural,Y
78574553,Male,Yes,0,Graduate,No,2620,2223.0,150.0,360.0,1.0,Semiurban,Y
26845364,Male,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,Y
62157313,Male,No,0,Graduate,No,4680,2087.0,,360.0,1.0,Semiurban,N
21392366,Male,Yes,1,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,Y
79778859,Female,Yes,0,Graduate,No,3166,0.0,36.0,360.0,1.0,Semiurban,Y
98883975,Male,Yes,2,Graduate,No,9703,0.0,112.0,360.0,1.0,Urban,Y
23479854,Female,No,0,Not Graduate,No,1907,2365.0,120.0,,1.0,Urban,Y
83506850,Male,Yes,1,Graduate,No,6875,0.0,200.0,360.0,1.0,Semiurban,Y
23187277,Female,No,0,Graduate,No,1500,1800.0,103.0,360.0,0.0,Semiurban,N
78979792,Male,Yes,1,Graduate,No,3315,0.0,96.0,360.0,1.0,Semiurban,Y
47709731,Male,Yes,2,Graduate,No,8799,0.0,258.0,360.0,0.0,Urban,N
36939239,Male,Yes,0,Graduate,No,1759,3541.0,131.0,360.0,1.0,Semiurban,Y
33027075,Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,Y
91200125,Male,No,0,Graduate,No,4917,0.0,130.0,360.0,0.0,Rural,Y
96191493,Female,No,3+,Graduate,,416,41667.0,350.0,180.0,,Urban,N
97796277,Male,Yes,2,Graduate,,2583,2330.0,125.0,360.0,1.0,Rural,Y
76401385,Male,Yes,1,Graduate,No,5500,1260.0,170.0,360.0,1.0,Rural,Y
32335235,Female,Yes,2,Graduate,No,14866,0.0,70.0,360.0,1.0,Urban,Y
10271836,Male,No,0,Graduate,No,2479,0.0,59.0,360.0,1.0,Urban,Y
13584702,Male,Yes,2,Graduate,No,5185,0.0,155.0,360.0,1.0,Semiurban,Y
62631083,Male,No,0,Graduate,No,3418,0.0,127.0,360.0,1.0,Semiurban,N
18585377,Male,Yes,2,Not Graduate,No,4200,1430.0,129.0,360.0,1.0,Rural,N
96544585,Male,No,0,Graduate,No,2366,2531.0,136.0,360.0,1.0,Semiurban,Y
95157821,Male,No,0,Not Graduate,No,2333,1451.0,102.0,480.0,0.0,Urban,N
97655395,Male,Yes,1,Graduate,No,6325,0.0,175.0,360.0,1.0,Semiurban,Y
27824013,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N
46601694,Male,Yes,0,Not Graduate,No,3010,3136.0,,360.0,0.0,Urban,N
77105583,Male,Yes,0,Graduate,Yes,2577,3750.0,152.0,360.0,1.0,Rural,Y
70304654,Male,No,0,Graduate,,3182,2917.0,161.0,360.0,1.0,Urban,Y
44119117,Female,No,0,Graduate,No,3237,0.0,30.0,360.0,1.0,Urban,Y
46433622,Male,Yes,0,Graduate,No,9083,0.0,228.0,360.0,1.0,Semiurban,Y
99482491,Male,Yes,0,Graduate,No,1820,1719.0,100.0,360.0,1.0,Urban,Y
70031992,Male,Yes,2,Graduate,,2500,1840.0,109.0,360.0,1.0,Urban,Y
65105831,Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y
13366612,Male,Yes,0,Not Graduate,No,1668,3890.0,201.0,360.0,0.0,Semiurban,N
68743503,Male,Yes,0,Graduate,No,4310,0.0,130.0,360.0,,Semiurban,Y
